,,Normalized data,,,,,SINDy model,lambda=0.062,,,,,SINDy model,lambda=0.04,,
time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI,,time (s),NADH,ATP,DiOC2(3),PBFI
553,0.418478169,0.316428596,0.666847339,0.552005805,,553,0.339154441,0.999478204,0.64092455,0.638509168,,553,0.674498538,1.09002473,0.55180962,0.551503984
554,0.284263206,0.312660519,0.639128455,0.574396185,,554,0.312936365,0.952520746,0.64092455,0.725167894,,554,0.636871357,1.052261033,0.540995233,0.615915114
555,0.376634446,0.333496755,0.644947069,0.529615424,,555,0.298240301,0.887585685,0.64092455,0.793343519,,555,0.606635708,1.001347935,0.536323888,0.680106425
556,0.414489269,0.328570842,0.665402136,0.47727791,,556,0.295861997,0.81322665,0.64092455,0.841946355,,556,0.586312779,0.938754952,0.53707622,0.743350149
557,0.531775886,0.328851726,0.631734655,0.458432673,,557,0.303693979,0.73662494,0.64092455,0.872809618,,557,0.577357952,0.866356787,0.542140881,0.804902196
558,0.677556229,0.308681021,0.691766907,0.481942573,,558,0.318303249,0.662751529,0.64092455,0.889137212,,558,0.580147278,0.786423269,0.550306986,0.8640018
559,0.636192514,0.301878603,0.691661486,0.499574997,,559,0.336170168,0.594480257,0.64092455,0.894304446,,559,0.594055627,0.701544725,0.560535457,0.919856008
560,0.552575202,0.38206559,0.681269656,0.476251684,,560,0.354345307,0.533113703,0.64092455,0.891229399,,560,0.617607888,0.614494164,0.572141944,0.9716206
561,0.638097216,0.44822956,0.694098353,0.367938219,,561,0.370652589,0.47894419,0.64092455,0.882178128,,561,0.648676557,0.528040826,0.584854688,1.01839104
562,0.721172759,0.488799083,0.730157216,0.462724163,,562,0.383645479,0.431692461,0.64092455,0.868799472,,562,0.684695604,0.444743028,0.598747683,1.059211987
563,0.710490636,0.505786583,0.662242967,0.37857365,,563,0.392469041,0.390801099,0.64092455,0.852243229,,563,0.722863773,0.366757704,0.614080574,1.093105481
564,0.78527733,0.589862867,0.712958826,0.423354411,,564,0.396710015,0.355611857,0.64092455,0.833286111,,564,0.760320572,0.295704038,0.631094899,1.119111211
565,0.781965072,0.600661475,0.669163577,0.4815694,,565,0.396268633,0.325464316,0.64092455,0.812436689,,565,0.794291518,0.23260649,0.64982019,1.136330333
566,0.918361207,0.663008494,0.603896775,0.314294599,,566,0.391260685,0.299746023,0.64092455,0.790014026,,566,0.822210182,0.177921866,0.669935752,1.143966761
567,0.78997982,0.705910136,0.615147698,0.32175806,,567,0.381947711,0.277914591,0.64092455,0.766203924,,567,0.841828336,0.13163376,0.690718852,1.141364032
568,0.904220545,0.697279443,0.525005097,0.353944231,,568,0.368689998,0.259504535,0.64092455,0.741099008,,568,0.851321661,0.093383831,0.711091174,1.128039485
569,0.833864001,0.763060516,0.587000366,0.345361252,,569,0.351916895,0.24412636,0.64092455,0.714728366,,569,0.849390504,0.062607015,0.72975599,1.103719099
570,0.83756231,0.733259565,0.531285614,0.349932622,,570,0.332109832,0.231462181,0.64092455,0.68708115,,570,0.835348462,0.038645754,0.745401234,1.068375945
