time (s),NADH,,time (s),DiOC2(3),,time (s),PBFI
268,182300,,268,17288,,268,3167
269,179300,,269,17371,,269,2823
270,180650,,270,17367,,270,2864
271,180550,,271,17347,,271,3249
272,180000,,272,17319,,272,3104
273,179300,,273,17426,,273,2381
274,181500,,274,17378,,274,2533
275,180300,,275,17433,,275,3076
276,180800,,276,17386,,276,3210
277,180850,,277,17414,,277,3427
278,180500,,278,17396,,278,3606
279,180450,,279,17402,,279,2367
280,181750,,280,17481,,280,3093
281,180300,,281,17517,,281,2569
282,179850,,282,17477,,282,2814
283,179750,,283,17524,,283,2330
284,178400,,284,17536,,284,2707
285,178950,,285,17459,,285,2738
286,179200,,286,17519,,286,2305
287,178250,,287,17580,,287,2799
288,178850,,288,17519,,288,3339
289,178200,,289,17567,,289,2999
290,177650,,290,17587,,290,2468
291,178900,,291,17541,,291,2073
292,177950,,292,17580,,292,3097
293,177400,,293,17621,,293,3464
294,177750,,294,17576,,294,2857
295,176650,,295,17579,,295,3325
296,179250,,296,17606,,296,3382
297,175900,,297,17638,,297,3856
298,176400,,298,17592,,298,3287
299,173600,,299,17652,,299,2840
300,173600,,300,17673,,300,3297
301,176250,,301,17652,,301,3710
302,173800,,302,17647,,302,3389
303,172600,,303,17725,,303,4000
304,173050,,304,17685,,304,3674
305,172800,,305,17725,,305,3899
306,174150,,306,17769,,306,2759
307,171700,,307,17709,,307,3493
308,174000,,308,17749,,308,2746
309,173300,,309,17758,,309,3753
310,171400,,310,17759,,310,3214
311,171300,,311,17794,,311,3319
312,171250,,312,17884,,312,3709
313,172350,,313,17842,,313,3915
314,169800,,314,17789,,314,3360
315,169100,,315,17844,,315,4314
316,170200,,316,17870,,316,3051
317,170800,,317,17898,,317,3475
318,167950,,318,17891,,318,3787
319,167100,,319,17877,,319,4214
320,164800,,320,17891,,320,3619
321,168200,,321,17940,,321,4001
322,167900,,322,17954,,322,3819
323,167050,,323,17996,,323,3645
324,165300,,324,18000,,324,3716
325,164650,,325,18004,,325,3721
326,166950,,326,18029,,326,3981
327,164700,,327,18066,,327,3001
328,163350,,328,18029,,328,2992
329,162350,,329,18089,,329,4064
330,162400,,330,18101,,330,3918
331,161800,,331,18148,,331,3646
332,160650,,332,18072,,332,4085
333,160200,,333,18120,,333,3488
334,159050,,334,18136,,334,4023
335,158200,,335,18146,,335,3422
336,158300,,336,18180,,336,2833
337,158900,,337,18181,,337,3607
338,156300,,338,18266,,338,4020
339,157200,,339,18229,,339,3299
340,156450,,340,18334,,340,3659
341,155400,,341,18346,,341,3687
342,154050,,342,18324,,342,3543
343,155100,,343,18373,,343,3568
344,153150,,344,18431,,344,3872
345,153950,,345,18425,,345,3527
346,151600,,346,18419,,346,4215
347,150900,,347,18429,,347,3855
348,151400,,348,18515,,348,3980
349,151800,,349,18569,,349,4063
350,152100,,350,18587,,350,4167
351,150750,,351,18572,,351,3656
352,153400,,352,18613,,352,3757
353,149150,,353,18630,,353,3358
354,151200,,354,18614,,354,3805
355,149700,,355,18648,,355,3463
356,149300,,356,18724,,356,4598
357,147150,,357,18677,,357,3288
358,149200,,358,18726,,358,3368
359,148200,,359,18763,,359,3907
360,145100,,360,18835,,360,3568
361,145700,,361,18871,,361,3412
362,145400,,362,18844,,362,3661
363,144150,,363,18846,,363,3128
364,144700,,364,18855,,364,2992
365,144600,,365,18925,,365,3376
366,142400,,366,18971,,366,3194
367,143450,,367,19006,,367,3124
368,143550,,368,19050,,368,3396
369,143550,,369,19074,,369,3074
370,140450,,370,19092,,370,3005
371,144500,,371,19178,,371,3653
372,140000,,372,19115,,372,4140
373,138900,,373,19208,,373,3713
374,140200,,374,19233,,374,3253
375,138250,,375,19253,,375,3365
376,138150,,376,19279,,376,3565
377,138700,,377,19303,,377,3529
378,143250,,378,19361,,378,3964
379,138200,,379,19366,,379,2903
380,138400,,380,19373,,380,3042
381,135400,,381,19377,,381,2929
382,138500,,382,19413,,382,3181
383,137700,,383,19491,,383,2665
384,138250,,384,19479,,384,3550
385,133700,,385,19473,,385,3318
386,135250,,386,19549,,386,2767
387,136050,,387,19626,,387,3473
388,135800,,388,19571,,388,3522
389,136650,,389,19613,,389,3405
390,136350,,390,19643,,390,3317
391,137800,,391,19684,,391,3308
392,135200,,392,19679,,392,3338
393,136400,,393,19736,,393,2817
394,137300,,394,19754,,394,3471
395,137400,,395,19775,,395,3458
396,133000,,396,19809,,396,3215
397,136550,,397,19836,,397,3077
398,135300,,398,19911,,398,3014
399,136750,,399,19906,,399,2877
400,135200,,400,19945,,400,3016
401,136350,,401,19974,,401,3253
402,136650,,402,19913,,402,4210
403,135900,,403,20003,,403,3667
404,136600,,404,20002,,404,3444
405,134500,,405,20058,,405,2940
406,138050,,406,20047,,406,3364
407,136100,,407,20090,,407,3069
408,137650,,408,20056,,408,3603
409,136750,,409,20087,,409,3941
410,136400,,410,20153,,410,3417
411,137650,,411,20190,,411,3699
412,138000,,412,20223,,412,3501
413,136550,,413,20237,,413,3791
414,136700,,414,20216,,414,3100
415,137150,,415,20289,,415,3579
416,136300,,416,20241,,416,3312
417,137150,,417,20311,,417,3245
418,136250,,418,20335,,418,3447
419,138600,,419,20347,,419,2518
420,136550,,420,20332,,420,3491
421,135100,,421,20375,,421,3241
422,137250,,422,20481,,422,3751
423,135400,,423,20445,,423,3215
424,137700,,424,20440,,424,2898
425,138950,,425,20487,,425,3588
426,137900,,426,20561,,426,3900
427,138950,,427,20567,,427,2669
428,137350,,428,20546,,428,3384
429,136600,,429,20585,,429,3232
430,136300,,430,20603,,430,3823
431,137500,,431,20673,,431,3610
432,138500,,432,20661,,432,3839
433,137800,,433,20665,,433,3322
434,140700,,434,20719,,434,3832
435,139150,,435,20722,,435,3288
436,138450,,436,20706,,436,3947
437,139700,,437,20793,,437,2971
438,138550,,438,20838,,438,3434
439,137100,,439,20870,,439,3443
440,140300,,440,20875,,440,3575
441,140250,,441,20876,,441,3071
442,138150,,442,20889,,442,3523
443,140450,,443,20949,,443,3170
444,143200,,444,20970,,444,3547
445,141500,,445,21000,,445,3085
446,140250,,446,20975,,446,3435
447,141400,,447,21062,,447,3238
448,143250,,448,21055,,448,3428
449,139950,,449,21072,,449,4309
450,138000,,450,21129,,450,3114
451,141150,,451,21057,,451,3911
452,139600,,452,21146,,452,3849
453,143750,,453,21130,,453,3928
454,140950,,454,21157,,454,4252
455,141800,,455,21152,,455,3240
456,142200,,456,21201,,456,3687
457,142150,,457,21261,,457,3833
458,141600,,458,21290,,458,3746
459,142550,,459,21329,,459,3894
460,142850,,460,21287,,460,3815
461,144100,,461,21339,,461,3563
462,144600,,462,21385,,462,3942
463,143000,,463,21381,,463,3362
464,142950,,464,21413,,464,3617
465,142450,,465,21406,,465,3325
466,144150,,466,21380,,466,2990
467,143000,,467,21414,,467,3747
468,140200,,468,21510,,468,3261
469,142100,,469,21446,,469,3191
470,142700,,470,21499,,470,2845
471,142000,,471,21524,,471,2799
472,141600,,472,21533,,472,3279
473,143800,,473,21581,,473,3219
474,140000,,474,21596,,474,3268
475,142900,,475,21589,,475,3564
476,140400,,476,21563,,476,3175
477,143250,,477,21653,,477,2860
478,144250,,478,21637,,478,3193
479,142750,,479,21684,,479,3271
480,143450,,480,21685,,480,3437
481,139750,,481,21737,,481,3675
482,142000,,482,21754,,482,3384
483,138700,,483,21762,,483,3324
484,143050,,484,21746,,484,3296
485,143550,,485,21761,,485,3220
486,141650,,486,21790,,486,3567
487,142150,,487,21695,,487,3495
488,141000,,488,21776,,488,3077
489,141400,,489,21788,,489,3281
490,140250,,490,21830,,490,2714
491,143300,,491,21877,,491,3673
492,140900,,492,21793,,492,3746
493,140100,,493,21856,,493,3549
494,137700,,494,21829,,494,3974
495,141000,,495,21864,,495,3758
496,141000,,496,21865,,496,3391
497,138250,,497,21952,,497,3398
498,141050,,498,21894,,498,2948
499,140950,,499,21896,,499,3245
500,140250,,500,21971,,500,4492
501,141600,,501,21888,,501,3759
502,139500,,502,21998,,502,3275
503,140950,,503,22010,,503,3881
504,142000,,504,21958,,504,3814
505,141200,,505,21955,,505,3637
506,138650,,506,21996,,506,3554
507,139300,,507,21997,,507,3598
508,140250,,508,21997,,508,3645
509,139650,,509,22031,,509,4179
510,140800,,510,21948,,510,3914
511,139500,,511,21994,,511,3655
512,140650,,512,22000,,512,3107
513,143850,,513,22015,,513,3604
514,142450,,514,21972,,514,3196
515,139750,,515,22050,,515,3728
516,141150,,516,21976,,516,3065
517,141700,,517,21998,,517,3797
518,139100,,518,21946,,518,3351
519,139350,,519,21965,,519,2658
520,140700,,520,22091,,520,4015
521,139300,,521,22072,,521,3375
522,138850,,522,22075,,522,3103
523,143050,,523,22053,,523,4108
524,136500,,524,22104,,524,3911
525,137250,,525,22103,,525,3667
526,138850,,526,22056,,526,3883
527,141450,,527,22098,,527,3346
528,139300,,528,22068,,528,3334
529,140450,,529,22063,,529,3162
530,139500,,530,22063,,530,3766
531,141050,,531,22038,,531,3384
532,141100,,532,22054,,532,3397
