,"""-nigericin""",,,"""+nicericin"""
time (s),NADH,,time (s),NADH
883,162992,,883,144054
884,162304,,884,144999
885,162945,,885,145221
886,162132,,886,144885
887,162894,,887,144828
888,162199,,888,144713
889,161922,,889,144255
890,162305,,890,144700
891,163248,,891,145341
892,162028,,892,145496
893,162693,,893,145243
894,162892,,894,145080
895,162324,,895,144858
896,162884,,896,145698
897,163730,,897,145358
898,162038,,898,145677
899,163137,,899,145919
900,163434,,900,145572
901,161583,,901,145801
902,162696,,902,146190
903,162405,,903,145950
904,162455,,904,146188
905,162148,,905,144900
906,163128,,906,144841
907,162404,,907,144548
908,161955,,908,145192
909,162156,,909,145134
910,163105,,910,144806
911,163406,,911,145844
912,163041,,912,144842
913,162005,,913,144125
914,161851,,914,144115
915,162886,,915,144567
916,162657,,916,144487
917,162260,,917,143723
918,162305,,918,144538
919,161913,,919,144856
920,162867,,920,144825
921,162883,,921,144230
922,161880,,922,144727
923,161750,,923,144546
924,162776,,924,145378
925,162303,,925,145371
926,163643,,926,145697
927,161731,,927,145350
928,162889,,928,144842
929,162479,,929,144901
930,162572,,930,145437
931,162838,,931,145712
932,161890,,932,145364
933,162598,,933,145562
934,162901,,934,145845
935,163105,,935,146277
936,162498,,936,145575
937,162524,,937,146147
938,162184,,938,146213
939,163149,,939,145215
940,162407,,940,145933
941,162669,,941,145876
942,161823,,942,146357
943,161799,,943,146432
944,162986,,944,145817
945,162961,,945,145831
946,162981,,946,145269
947,162778,,947,145604
948,162784,,948,144352
949,162230,,949,144996
950,162191,,950,144484
951,163109,,951,144362
952,163244,,952,144575
953,162220,,953,145673
954,162510,,954,144401
955,162736,,955,144380
956,163519,,956,143924
957,162994,,957,144734
958,161993,,958,144718
959,162804,,959,144349
960,162945,,960,145112
961,163027,,961,144470
962,163405,,962,144714
963,163502,,963,144790
964,162857,,964,144931
965,162883,,965,145368
966,162978,,966,145005
967,162557,,967,146096
968,162916,,968,145874
969,162573,,969,145405
970,162727,,970,145801
971,161976,,971,145768
972,163332,,972,146014
973,162312,,973,146168
974,163048,,974,146398
975,162445,,975,146131
976,163158,,976,146789
977,163086,,977,146836
978,163410,,978,146651
979,162963,,979,146171
980,163292,,980,146567
981,162861,,981,145253
982,162457,,982,145414
983,163032,,983,146087
