,100 mM K-phosphate,,,100 mM Na-phosphate
time,NADH,,time,NADH
2283,164963,,2283,184517
2284,165812,,2284,183609
2285,165600,,2285,184823
2286,165614,,2286,185697
2287,166026,,2287,184909
2288,165090,,2288,185487
2289,166228,,2289,183947
2290,165223,,2290,184778
2291,166720,,2291,184344
2292,166188,,2292,185182
2293,165571,,2293,184402
2294,165705,,2294,184885
2295,166965,,2295,183908
2296,166237,,2296,184072
2297,165222,,2297,184304
2298,165404,,2298,183925
2299,165682,,2299,184542
2300,165447,,2300,183822
2301,165287,,2301,185083
2302,164970,,2302,183183
2303,165503,,2303,184560
2304,166136,,2304,183831
2305,165589,,2305,184766
2306,165830,,2306,184326
2307,165555,,2307,185157
2308,165139,,2308,185219
2309,165976,,2309,184378
2310,166029,,2310,185148
2311,165022,,2311,185033
2312,166036,,2312,184470
2313,165981,,2313,185016
2314,165068,,2314,185134
2315,165058,,2315,184521
2316,165572,,2316,184759
2317,165904,,2317,185128
2318,164882,,2318,185944
2319,165795,,2319,185608
2320,164734,,2320,185128
2321,165112,,2321,184228
2322,165059,,2322,184461
2323,166670,,2323,184423
2324,165467,,2324,185005
2325,164893,,2325,184376
2326,164721,,2326,183930
2327,165608,,2327,183647
2328,165575,,2328,183926
2329,164935,,2329,184546
2330,165007,,2330,184676
2331,165404,,2331,184709
2332,165619,,2332,184217
2333,164805,,2333,185095
2334,165159,,2334,185138
2335,164948,,2335,184873
2336,164574,,2336,184502
2337,165497,,2337,184558
2338,165577,,2338,184374
2339,165176,,2339,183672
2340,165604,,2340,184929
2341,163753,,2341,184689
2342,165402,,2342,184078
2343,166103,,2343,184484
2344,165954,,2344,184862
2345,164459,,2345,184491
2346,165286,,2346,184024
2347,164897,,2347,184513
2348,165132,,2348,185261
2349,165539,,2349,183909
2350,166393,,2350,184739
2351,164735,,2351,183661
2352,166047,,2352,184964
2353,164787,,2353,184910
2354,164786,,2354,185556
2355,165361,,2355,183529
2356,165164,,2356,184561
2357,165481,,2357,183505
2358,165286,,2358,184262
2359,164471,,2359,184170
2360,163909,,2360,183352
2361,164862,,2361,183554
2362,165281,,2362,185057
2363,165705,,2363,185000
2364,164513,,2364,185845
2365,163911,,2365,185322
2366,165205,,2366,184921
2367,166231,,2367,184080
2368,164608,,2368,184088
2369,165449,,2369,184130
2370,164659,,2370,184859
2371,163981,,2371,184256
2372,165635,,2372,185924
2373,165528,,2373,185847
2374,165075,,2374,184371
2375,165413,,2375,183458
2376,164068,,2376,185156
2377,165689,,2377,184183
2378,165292,,2378,185688
2379,165311,,2379,186152
2380,166324,,2380,184819
2381,165021,,2381,184969
2382,165348,,2382,185202
2383,165406,,2383,184222
2384,164894,,2384,183756
2385,166539,,2385,185091
2386,164851,,2386,184427
2387,163708,,2387,184799
2388,165171,,2388,184814
2389,164905,,2389,184279
2390,165323,,2390,184930
2391,164919,,2391,185074
2392,165499,,2392,184429
2393,165421,,2393,184846
2394,165637,,2394,183916
2395,165366,,2395,184787
2396,164284,,2396,184057
2397,165027,,2397,183342
2398,165127,,2398,184231
2399,164635,,2399,184412
2400,165211,,2400,184021
2401,164650,,2401,184960
2402,165163,,2402,185008
2403,164683,,2403,184349
2404,165431,,2404,183618
2405,164991,,2405,184219
2406,164814,,2406,184688
2407,166106,,2407,185058
2408,165151,,2408,184944
2409,165074,,2409,184441
2410,164749,,2410,183265
2411,163864,,2411,184506
2412,165793,,2412,184370
2413,164130,,2413,184557
2414,164958,,2414,184747
2415,164443,,2415,184498
2416,164638,,2416,184670
2417,165141,,2417,185244
2418,164505,,2418,184010
2419,164806,,2419,184867
2420,165150,,2420,184267
2421,165199,,2421,184167
2422,164550,,2422,184404
2423,164663,,2423,185134
2424,164678,,2424,185160
2425,164769,,2425,182962
2426,164259,,2426,184760
2427,165161,,2427,185299
2428,164341,,2428,185050
2429,164091,,2429,184974
2430,164745,,2430,182779
2431,165160,,2431,182635
2432,164053,,2432,184499
2433,165053,,2433,184724
2434,164612,,2434,184165
2435,164242,,2435,182423
2436,165218,,2436,183873
2437,164600,,2437,184846
2438,165117,,2438,184127
2439,164548,,2439,183840
2440,164956,,2440,183113
2441,165291,,2441,183147
2442,164759,,2442,183801
2443,163875,,2443,183227
2444,164592,,2444,183514
2445,164716,,2445,184576
2446,163607,,2446,183348
2447,164760,,2447,183183
2448,164802,,2448,185329
2449,163832,,2449,183909
2450,164350,,2450,183921
2451,164548,,2451,184455
2452,163749,,2452,183919
2453,163578,,2453,183600
2454,164495,,2454,183970
2455,164149,,2455,184038
2456,164197,,2456,183965
2457,164422,,2457,184002
2458,165018,,2458,184465
2459,164537,,2459,184510
2460,164805,,2460,184107
2461,164820,,2461,183326
2462,164909,,2462,183364
2463,164467,,2463,184409
2464,164202,,2464,183561
2465,164418,,2465,185097
2466,164182,,2466,184768
2467,165635,,2467,184253
2468,163938,,2468,184629
2469,164346,,2469,183437
2470,164186,,2470,183175
2471,164480,,2471,183460
2472,164827,,2472,183805
2473,163934,,2473,183850
2474,164596,,2474,183798
2475,164972,,2475,183847
2476,163528,,2476,184356
2477,164175,,2477,183282
2478,165211,,2478,184667
2479,163685,,2479,183057
2480,163764,,2480,184136
2481,164809,,2481,183435
2482,164615,,2482,183997
2483,165018,,2483,183682
2484,165339,,2484,183558
2485,163880,,2485,184208
2486,164607,,2486,183535
2487,163605,,2487,183866
2488,163935,,2488,184010
2489,163568,,2489,184048
2490,164720,,2490,183684
2491,164960,,2491,184368
2492,163927,,2492,183400
2493,164706,,2493,183054
2494,163919,,2494,183918
2495,164206,,2495,183819
2496,163406,,2496,183235
2497,163991,,2497,183003
2498,164684,,2498,183208
2499,164239,,2499,184220
2500,163780,,2500,183204
